"dataset" "learner" "memory_limit"
"131" "KDDCup09_appetency.1111" "classif.RcppHNSW" 2889449.52
"132" "KDDCup09_appetency.1111" "classif.glmnet" 3441603
"133" "KDDCup09_appetency.1111" "classif.kerasff" 9296546.4
"134" "KDDCup09_appetency.1111" "classif.ranger.pow" 4201488.96
"135" "KDDCup09_appetency.1111" "classif.rpart" 2472331.2
"136" "KDDCup09_appetency.1111" "classif.svm" 5610675.36
"137" "KDDCup09_appetency.1111" "classif.svm.radial" 5532935.64
"138" "KDDCup09_appetency.1111" "classif.xgboost.dart" 3636435.12
"139" "KDDCup09_appetency.1111" "classif.xgboost.gblinear" 3626085.48
"140" "KDDCup09_appetency.1111" "classif.xgboost.gbtree" 3603490.8
"141" "LED.display.domain.7digit.40496" "classif.RcppHNSW" 330184.8
"142" "LED.display.domain.7digit.40496" "classif.glmnet" 353482.8
"143" "LED.display.domain.7digit.40496" "classif.kerasff" 1057477.8
"144" "LED.display.domain.7digit.40496" "classif.ranger.pow" 459555.6
"145" "LED.display.domain.7digit.40496" "classif.rpart" 350125.2
"146" "LED.display.domain.7digit.40496" "classif.svm" 351661.92
"147" "LED.display.domain.7digit.40496" "classif.svm.radial" 351542.4
"148" "LED.display.domain.7digit.40496" "classif.xgboost.dart" 444887.28
"149" "LED.display.domain.7digit.40496" "classif.xgboost.gblinear" 388183.56
"150" "LED.display.domain.7digit.40496" "classif.xgboost.gbtree" 473013.6
"151" "MiceProtein.40966" "classif.RcppHNSW" 379968.6
"152" "MiceProtein.40966" "classif.glmnet" 410904.48
"153" "MiceProtein.40966" "classif.kerasff" 1045345.8
"154" "MiceProtein.40966" "classif.ranger.pow" 485922.6
"155" "MiceProtein.40966" "classif.rpart" 396249.6
"156" "MiceProtein.40966" "classif.svm" 397694.4
"157" "MiceProtein.40966" "classif.svm.radial" 398617.44
"158" "MiceProtein.40966" "classif.xgboost.dart" 452677.8
"159" "MiceProtein.40966" "classif.xgboost.gblinear" 410529.24
"160" "MiceProtein.40966" "classif.xgboost.gbtree" 460448.88
"161" "MiniBooNE.41150" "classif.RcppHNSW" 1233596.76
"162" "MiniBooNE.41150" "classif.glmnet" 1307439
"163" "MiniBooNE.41150" "classif.kerasff" 3121654.56
"164" "MiniBooNE.41150" "classif.ranger.pow" 7900114.32
"165" "MiniBooNE.41150" "classif.rpart" 1330230.24
"166" "MiniBooNE.41150" "classif.svm" 1499713.2
